ts	phase	decision	why	evidence	result
2026-08-29T07:53:00Z	verify	Run ELSE insert, THEN insert, palette core, port click, empty-slot hits, and invalid cross-branch	Audit required those filters plus the new THEN and empty-slot tests.	cargo test palette_inserts_into_selected_if_; cargo test palette_covers_core_types; cargo test if_else_port_click; cargo test invalid_cross_branch_link; cargo test empty_if_	tests green
2026-08-29T07:54:00Z	ship	Commit b237a76 on pr-macro-if and push to update PR 1. Stop at STACK-READY. Do not merge.	Root audit must-fix was coverage. New head is the verified SHA.	https://github.com/Howard-Starfield/Diablo-IV-Masterwork-Companion/pull/1	STACK-READY
2026-08-29T18:45:00Z	shape	Keep authoring on EditorCommand. Add ConversionTarget::Continuous, InsertLane, and SetAction. Do not change model.rs.	The next PR is an indented list. List edits must emit the same commands. Action and WatchLane already exist on the engine model.	src/macro_ui/editor.rs EditorCommand	open
2026-08-29T18:46:00Z	palette	Put Continuous on the palette beside Repeat, and convert RepeatN or RepeatUntil to Continuous while keeping the child body.	Palette is how a user adds a step. Conversion keeps an existing loop body. Unpaced Continuous still fails validate_macro.	src/macro_ui/mod.rs PaletteKind::Continuous	open
2026-08-29T18:47:00Z	watch	Add Lane clones the first lane condition, or the first observation if the group is empty, and appends via InsertLane.	A second lane is a WatchGroup edit, not a new block. Cloning the detector avoids a second observation picker in this PR.	src/macro_ui/mod.rs watch_insert_lane_command	open
2026-08-29T18:48:00Z	inspector	Replace the Action BLOCK empty inspector with ACTION fields for kind, mouse button, and target.	The plan forbids Debug dumps. Button and target are the Action enum fields the user can edit without Replace Block.	src/macro_ui/inspector.rs FlowEdit::Action	open
2026-08-29T18:55:00Z	verify	Run rejects_unpaced_continuous, watch_lane_projection, palette Continuous, Add Lane, Action inspector, InsertLane, SetAction, conversion, palette_covers_core, and cargo test macro_ui::	Prove the command path and keep engine busy-loop rejection.	cargo test macro_ui:: ; cargo test rejects_unpaced_continuous	tests green
2026-08-29T19:05:00Z	ship	Commit e1a136e on pr-macro-author and open ready PR 2 with base pr-macro-if. Stop at STACK-READY. Do not merge.	Autopilot-stack owner delivers a verified head for the root swarm.	https://github.com/Howard-Starfield/Diablo-IV-Masterwork-Companion/pull/2	STACK-READY
2026-08-29T19:12:00Z	shape	Flatten the canonical tree into StepListRow Block and Section rows. Reuse CanvasSelection for THEN/ELSE/Lane/Timeout insert targets.	The list is the product. A second live graph would keep the control problem. Named sections beat a recursive widget with no projection tests.	src/macro_ui/step_list.rs StepListRow	open
2026-08-29T19:13:00Z	surface	Rewrite MacroPage::workspace to call step_list::show. Quarantine canvas.rs under cfg(test). Drop Fit view, Auto arrange, Reset zoom, and pending_canvas_port.	Empty-space pan and connector drag were the operator complaint. Palette insert already uses insertion_target.	src/macro_ui/mod.rs show_step_list	open
2026-08-29T19:14:00Z	layout	Put Add step above the list and Up/Down/Disable/Duplicate/Delete below it.	A full conversion toolbar above the list buried the only Observe row. The list has to be the thing you look at.	src/macro_ui/mod.rs editor_selection_actions	open
2026-08-29T19:15:00Z	canvas	Keep canvas.rs for connector unit tests. Do not delete the renderer in this PR. Drop LayoutEdit::Layout after auto_arrange_canvas went away.	The plan allows quarantine. Extracting finish_connection and deleting paint is a later subtract.	src/macro_ui/mod.rs mod canvas	kept
2026-08-29T19:18:00Z	verify	cargo test 664 passed. Live STEPS list with Check text, If THEN/ELSE empty, Repeat LOOP BODY empty. No bezier. Enchant Start remains.	cargo test; artifacts/PR-macro-list/list-01-macro.png list-02-rows.png list-03-if.png list-09-enchant.png	tests green, live list
2026-08-29T19:28:00Z	ship	Commit 48b0dba on pr-macro-list and open ready PR 3 with base pr-macro-author. Stop at STACK-READY. Do not merge.	Autopilot-stack owner delivers a verified head for the root swarm.	https://github.com/Howard-Starfield/Diablo-IV-Masterwork-Companion/pull/3	STACK-READY
2026-08-29T19:50:00Z	shape	Model status as LiveTargetStatus Unbound/Bound/Lost instead of hardcoded Not connected and Unknown	Unbound is not a failed sample. Bound is a live TargetSnapshot. Lost is the only place Unknown is honest.	src/macro_ui/mod.rs LiveTargetStatus	open
2026-08-29T19:51:00Z	chrome	Drop Create starter draft from the status strip. Keep one Guided wizard entry. Add History that enqueues ShowHistory.	Library already has New Macro. Permanent duplicate create was sprawl. README UAT still names history.	src/macro_ui/mod.rs status_strip	open
2026-08-29T19:52:00Z	layout	Apply MacroCanvasLayout library_width and inspector_width as SidePanel default_width. Persist only when live width differs from the shown clamp by more than 4px.	Three panes remain after the list redesign. Clamping compact display must not overwrite a wide-layout saved width.	src/macro_ui/mod.rs record_side_pane_widths	open
2026-08-29T19:53:00Z	dock	Lower BOTTOM_DEFAULT_HEIGHT from 276 to 204 and MIN from 184 to 168	The list needs the center. Enchant stays at exact 112. Run controls stay reachable.	src/macro_ui/mod.rs MacroPage	open
2026-08-29T19:54:00Z	verify	cargo test 673 passed. Live unbound chrome shows Not bound, Guided wizard, History. History opens No saved run history. Enchant Start remains. STEPS list remains.	cargo test; artifacts/PR-macro-shell/shell-01-macro.png shell-04-history.png shell-07-enchant.png shell-08-back.png	tests green, live chrome
2026-08-29T19:55:00Z	ship	Commit f0f521d on pr-macro-shell and open ready PR 4 with base pr-macro-list. Stop at STACK-READY. Do not merge.	Autopilot-stack owner delivers a verified head for the root swarm.	https://github.com/Howard-Starfield/Diablo-IV-Masterwork-Companion/pull/4	STACK-READY
